dayinyear,sunrise_delta,sunset_delta,temp,pressure,cloudiness,humidity_relative,production
70,10,1,6.3,1011.625,7.0,57.800000000000004,0.4800000000000002
70,11,0,5.95,1011.5,7.0,60.366666666666674,0.15000000000000013
70,12,-1,5.25,1011.85,7.0,64.5,0.010000000000000009
70,13,-2,4.85,1011.65,7.0,68.63333333333334,0.0
70,14,-3,4.8999999999999995,1011.7,7.0,68.39999999999999,0.0
70,15,-4,4.7,1011.525,7.0,69.6,0.0
70,16,-5,4.825,1011.325,8.0,70.13333333333334,0.0
70,17,-6,4.7,1010.75,8.0,70.39999999999999,0.0
71,-6,17,4.525,1010.25,7.0,75.16666666666667,0.0
71,-5,16,4.3,1009.5,8.0,80.39999999999999,0.0
71,-4,15,4.15,1008.975,7.0,82.46666666666665,0.0
71,-3,14,4.25,1008.3499999999999,7.0,86.66666666666667,0.0
71,-2,13,4.325,1007.95,8.0,91.63333333333333,0.0
71,-1,12,4.9,1007.825,8.0,95.2,0.0
71,0,11,6.025,1008.0,8.0,97.0,0.0
71,1,10,7.725,1008.4749999999999,6.0,96.56666666666666,0.0
71,2,9,8.35,1009.0,7.0,94.2,0.09000000000000008
71,3,8,9.3,1009.6,6.0,90.43333333333334,0.30000000000000004
71,4,7,9.95,1009.975,5.0,85.93333333333334,0.6600000000000004
71,5,6,10.725,1010.2,5.0,82.13333333333333,1.2599999999999998
71,6,5,10.95,1010.1,6.0,77.56666666666666,0.8199999999999998
71,7,4,11.075,1009.45,7.0,75.66666666666667,1.0899999999999999
71,8,3,11.375,1009.5,6.0,73.10000000000001,0.8899999999999997
71,9,2,10.575,1009.575,7.0,75.96666666666665,0.2400000000000002
71,10,1,10.325,1009.35,8.0,78.26666666666667,0.08000000000000007
71,11,0,10.35,1008.95,8.0,80.13333333333334,0.019999999999999574
71,12,-1,9.8,1008.5,8.0,82.89999999999999,0.0
71,13,-2,9.475,1007.8,7.0,85.46666666666665,0.0
71,14,-3,9.85,1007.0,8.0,83.46666666666665,0.0
71,15,-4,10.225,1005.975,8.0,81.33333333333333,0.0
71,16,-5,10.3,1004.55,8.0,84.66666666666667,0.0048000000000003595
71,17,-6,10.175,1003.375,8.0,89.2,0.0
72,-6,17,10.55,1002.125,8.0,92.46666666666665,0.0
72,-5,16,11.2,1001.025,7.0,93.43333333333334,0.0
72,-4,15,11.7,1000.225,7.0,94.3,0.0
72,-3,14,12.525,999.575,7.0,91.8,0.0
72,-2,13,12.85,999.325,8.0,88.89999999999999,0.0
72,-1,12,12.9,998.625,7.0,83.8,0.0
72,0,11,12.475,998.35,8.0,82.3,0.0
72,1,10,12.425,998.2,7.0,85.60000000000001,0.0
72,2,9,13.025,998.025,6.0,86.89999999999999,0.07699999999999996
72,3,8,13.9,997.475,6.0,79.16666666666667,0.21479999999999944
72,4,7,14.225,996.825,5.0,75.76666666666667,0.8686000000000007
72,5,6,15.1,996.3499999999999,5.0,66.89999999999999,0.9964000000000022
72,6,5,15.025,996.25,6.0,60.333333333333336,0.9872999999999994
72,7,4,15.05,995.75,6.0,57.699999999999996,1.2155000000000005
72,8,3,15.125,994.75,3.0,58.06666666666666,1.8534000000000024
72,9,2,14.7,993.9,3.0,61.03333333333333,1.3303999999999974
72,10,1,14.575,992.825,3.0,59.13333333333333,1.2794000000000025
72,11,0,14.075000000000001,992.15,3.0,62.86666666666667,0.7086999999999986
72,12,-1,12.75,991.825,3.0,66.2,0.06250000000000355
72,13,-2,10.775,991.225,3.0,72.33333333333333,0.0
72,14,-3,10.25,990.425,3.0,75.89999999999999,0.0
72,15,-4,11.55,990.5,7.0,74.26666666666667,0.0
72,16,-5,10.7,990.475,7.0,76.76666666666667,0.0
72,17,-6,10.0,990.5,7.0,77.13333333333334,0.0
73,-5,17,9.25,990.375,7.0,81.06666666666668,0.0
73,-4,16,9.225,990.075,7.0,84.66666666666667,0.0
73,-3,15,9.3,989.75,7.0,85.33333333333333,0.0
73,-2,14,9.15,989.325,7.0,90.3,0.0
73,-1,13,9.25,989.325,6.0,92.06666666666666,0.0
73,0,12,8.675,989.85,7.0,92.10000000000001,0.0
73,1,11,7.5,991.35,7.0,93.86666666666667,0.0
73,2,10,6.7,993.85,7.0,91.63333333333333,0.0
73,3,9,6.275,995.975,7.0,85.2,0.0
73,4,8,5.95,997.925,7.0,85.2,0.13860000000000383
73,5,7,6.0,999.75,7.0,83.46666666666667,0.15799999999999415
73,6,6,5.55,1001.5,7.0,89.83333333333333,0.17490000000000094
73,7,5,5.2,1003.225,7.0,91.96666666666665,0.15790000000000148
73,8,4,5.55,1004.8,7.0,86.89999999999999,0.316399999999998
73,9,3,5.4,1006.525,7.0,75.43333333333334,0.18840000000000146
73,10,2,5.575,1007.95,7.0,69.76666666666667,0.21689999999999898
73,11,1,6.075,1009.0,6.0,69.36666666666667,0.7584000000000017
73,12,0,6.0,1009.925,3.0,71.53333333333333,0.2986000000000004
73,13,-1,5.225,1011.05,3.0,78.60000000000001,0.05100000000000193
